Total Nacional;Municipios;Indicadores;Periodo;Total
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2024;4.651.812
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2023;4.224.690
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2022;3.555.062
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2021;2.244.046
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2020;1.076.061
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2019;3.445.157
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2018;3.092.088
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2017;3.060.499
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2016;2.666.060
Total Nacional;Málaga;Número de pernoctaciones turísticas anuales (Número);2015;2.418.056
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2024;20.441
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2023;19.218
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2022;18.129
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2021;11.979
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2020;11.316
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2019;16.631
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2018;14.773
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2017;14.636
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2016;12.900
Total Nacional;Málaga;Número de plazas disponibles en establecimientos turísticos (Número);2015;11.583
