Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2022;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2021;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2020;2
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2019;2
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2018;2,1
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2017;2,4
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2016;2,3
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Distribución de la renta P80/P20;2015;2,5
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2023;24,1
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2022;24,5
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2021;24,9
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2020;23,8
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2019;23,3
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2018;24,3
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2017;24,3
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2016;26,6
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Índice de Gini;2015;27,4
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2023;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2022;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2021;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2020;2,1
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2019;2,1
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2018;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2017;2,1
