Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
29017 Archidona;2901703 Archidona distrito 03;;Distribución de la renta P80/P20;2015;2,6
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2023;26,4
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2022;27,4
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2021;26,1
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2020;26,8
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2019;26
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2018;26
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2017;28,9
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2016;28,6
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Índice de Gini;2015;30,8
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2023;2,1
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2022;2,3
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2021;2,2
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2020;2,1
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2019;2
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2018;2,1
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2017;2,5
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2016;2,4
29017 Archidona;2901703 Archidona distrito 03;2901703001 Archidona sección 03001;Distribución de la renta P80/P20;2015;2,6
29018 Ardales;;;Índice de Gini;2023;24,8
29018 Ardales;;;Índice de Gini;2022;25,8
29018 Ardales;;;Índice de Gini;2021;25
29018 Ardales;;;Índice de Gini;2020;25,6
29018 Ardales;;;Índice de Gini;2019;24,8
29018 Ardales;;;Índice de Gini;2018;25,4
29018 Ardales;;;Índice de Gini;2017;25,2
29018 Ardales;;;Índice de Gini;2016;27
29018 Ardales;;;Índice de Gini;2015;27,3
29018 Ardales;;;Distribución de la renta P80/P20;2023;2
29018 Ardales;;;Distribución de la renta P80/P20;2022;2,1
29018 Ardales;;;Distribución de la renta P80/P20;2021;2
29018 Ardales;;;Distribución de la renta P80/P20;2020;2
29018 Ardales;;;Distribución de la renta P80/P20;2019;2
29018 Ardales;;;Distribución de la renta P80/P20;2018;2
29018 Ardales;;;Distribución de la renta P80/P20;2017;2
29018 Ardales;;;Distribución de la renta P80/P20;2016;2,1
29018 Ardales;;;Distribución de la renta P80/P20;2015;2,3
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2023;24,8
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2022;25,8
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2021;25
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2020;25,6
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2019;24,8
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2018;25,4
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2017;25,2
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2016;27
29018 Ardales;2901801 Ardales distrito 01;;Índice de Gini;2015;27,3
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2023;2
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2022;2,1
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2021;2
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2020;2
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2019;2
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2018;2
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2017;2
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2016;2,1
29018 Ardales;2901801 Ardales distrito 01;;Distribución de la renta P80/P20;2015;2,3
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2023;23,4
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2022;24,5
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2021;23,7
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2020;23,8
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2019;22,6
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2018;23,6
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2017;23,9
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2016;24,5
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Índice de Gini;2015;26
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2023;1,9
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2022;2
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2021;1,9
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2020;2
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2019;2
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2018;1,9
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2017;1,9
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2016;2
29018 Ardales;2901801 Ardales distrito 01;2901801001 Ardales sección 01001;Distribución de la renta P80/P20;2015;2,2
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2023;26,7
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2022;27,6
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2021;26,5
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2020;28,5
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2019;27,9
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2018;28
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2017;27,1
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2016;30,3
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Índice de Gini;2015;29,3
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2023;2
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2022;2
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2021;2
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2020;2,3
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2019;2,3
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2018;2
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2017;2,1
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2016;2,5
29018 Ardales;2901801 Ardales distrito 01;2901801002 Ardales sección 01002;Distribución de la renta P80/P20;2015;2,4
29019 Arenas;;;Índice de Gini;2023;28,6
29019 Arenas;;;Índice de Gini;2022;27,3
29019 Arenas;;;Índice de Gini;2021;26,5
29019 Arenas;;;Índice de Gini;2020;27,9
29019 Arenas;;;Índice de Gini;2019;28,5
29019 Arenas;;;Índice de Gini;2018;28,3
29019 Arenas;;;Índice de Gini;2017;30,4
29019 Arenas;;;Índice de Gini;2016;32,1
29019 Arenas;;;Índice de Gini;2015;31,9
29019 Arenas;;;Distribución de la renta P80/P20;2023;2,3
29019 Arenas;;;Distribución de la renta P80/P20;2022;2,2
29019 Arenas;;;Distribución de la renta P80/P20;2021;2,2
29019 Arenas;;;Distribución de la renta P80/P20;2020;2,4
29019 Arenas;;;Distribución de la renta P80/P20;2019;2,4
29019 Arenas;;;Distribución de la renta P80/P20;2018;2,4
29019 Arenas;;;Distribución de la renta P80/P20;2017;2,4
29019 Arenas;;;Distribución de la renta P80/P20;2016;2,6
29019 Arenas;;;Distribución de la renta P80/P20;2015;2,7
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2023;28,6
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2022;27,3
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2021;26,5
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2020;27,9
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2019;28,5
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2018;28,3
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2017;30,4
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2016;32,1
29019 Arenas;2901901 Arenas distrito 01;;Índice de Gini;2015;31,9
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2023;2,3
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2022;2,2
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2021;2,2
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2020;2,4
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2019;2,4
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2018;2,4
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2017;2,4
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2016;2,6
29019 Arenas;2901901 Arenas distrito 01;;Distribución de la renta P80/P20;2015;2,7
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2023;28,6
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2022;27,3
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2021;26,5
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2020;27,9
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2019;28,5
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2018;28,3
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2017;30,4
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2016;32,1
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Índice de Gini;2015;31,9
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2023;2,3
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2022;2,2
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2021;2,2
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2020;2,4
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2019;2,4
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2018;2,4
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2017;2,4
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2016;2,6
29019 Arenas;2901901 Arenas distrito 01;2901901001 Arenas sección 01001;Distribución de la renta P80/P20;2015;2,7
29020 Arriate;;;Índice de Gini;2023;26,8
29020 Arriate;;;Índice de Gini;2022;27,4
29020 Arriate;;;Índice de Gini;2021;28
29020 Arriate;;;Índice de Gini;2020;28,1
29020 Arriate;;;Índice de Gini;2019;27,4
29020 Arriate;;;Índice de Gini;2018;28,3
29020 Arriate;;;Índice de Gini;2017;29
29020 Arriate;;;Índice de Gini;2016;30,5
29020 Arriate;;;Índice de Gini;2015;31,1
29020 Arriate;;;Distribución de la renta P80/P20;2023;2,2
29020 Arriate;;;Distribución de la renta P80/P20;2022;2,3
29020 Arriate;;;Distribución de la renta P80/P20;2021;2,3
29020 Arriate;;;Distribución de la renta P80/P20;2020;2,4
29020 Arriate;;;Distribución de la renta P80/P20;2019;2,2
29020 Arriate;;;Distribución de la renta P80/P20;2018;2,3
29020 Arriate;;;Distribución de la renta P80/P20;2017;2,3
29020 Arriate;;;Distribución de la renta P80/P20;2016;2,6
29020 Arriate;;;Distribución de la renta P80/P20;2015;2,8
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2023;26,8
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2022;27,4
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2021;28
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2020;28,1
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2019;27,4
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2018;28,3
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2017;29
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2016;30,5
29020 Arriate;2902001 Arriate distrito 01;;Índice de Gini;2015;31,1
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2023;2,2
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2022;2,3
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2021;2,3
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2020;2,4
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2019;2,2
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2018;2,3
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2017;2,3
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2016;2,6
29020 Arriate;2902001 Arriate distrito 01;;Distribución de la renta P80/P20;2015;2,8
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2023;26,5
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2022;27,7
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2021;28,1
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2020;27,7
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2019;27,2
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2018;28,8
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2017;29,7
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2016;30,8
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Índice de Gini;2015;31,1
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2023;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2022;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2021;2,4
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2020;2,4
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2019;2,4
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2018;2,5
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2017;2,7
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2016;2,5
29020 Arriate;2902001 Arriate distrito 01;2902001001 Arriate sección 01001;Distribución de la renta P80/P20;2015;2,8
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2023;26,1
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2022;26,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2021;27,1
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2020;26,6
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2019;26,1
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2018;25,7
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2017;27,1
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2016;28,3
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Índice de Gini;2015;28,5
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2023;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2022;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2021;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2020;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2019;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2018;2,1
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2017;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2016;2,1
29020 Arriate;2902001 Arriate distrito 01;2902001002 Arriate sección 01002;Distribución de la renta P80/P20;2015;2,5
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2023;28,4
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2022;27,9
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2021;29,6
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2020;30,2
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2019;29,5
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2018;30,9
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2017;30,5
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2016;33,2
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Índice de Gini;2015;34,8
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2023;2,2
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2022;2,3
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2021;2,3
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2020;2,4
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2019;2,3
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2018;2,6
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2017;2,3
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2016;2,6
29020 Arriate;2902001 Arriate distrito 01;2902001003 Arriate sección 01003;Distribución de la renta P80/P20;2015;2,9
29021 Atajate;;;Índice de Gini;2023;33,2
29021 Atajate;;;Índice de Gini;2022;33,6
29021 Atajate;;;Índice de Gini;2021;34,5
29021 Atajate;;;Índice de Gini;2020;33
29021 Atajate;;;Índice de Gini;2019;33,3
29021 Atajate;;;Índice de Gini;2018;40,1
29021 Atajate;;;Índice de Gini;2017;42,2
29021 Atajate;;;Índice de Gini;2016;39,2
29021 Atajate;;;Índice de Gini;2015;39,8
29021 Atajate;;;Distribución de la renta P80/P20;2023;2,2
29021 Atajate;;;Distribución de la renta P80/P20;2022;2,4
29021 Atajate;;;Distribución de la renta P80/P20;2021;2,7
29021 Atajate;;;Distribución de la renta P80/P20;2020;2,8
29021 Atajate;;;Distribución de la renta P80/P20;2019;2,7
29021 Atajate;;;Distribución de la renta P80/P20;2018;4,1
29021 Atajate;;;Distribución de la renta P80/P20;2017;4,8
29021 Atajate;;;Distribución de la renta P80/P20;2016;5,9
29021 Atajate;;;Distribución de la renta P80/P20;2015;3,5
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2023;33,2
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2022;33,6
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2021;34,5
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2020;33
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2019;33,3
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2018;40,1
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2017;42,2
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2016;39,2
29021 Atajate;2902101 Atajate distrito 01;;Índice de Gini;2015;39,8
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2023;2,2
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2022;2,4
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2021;2,7
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2020;2,8
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2019;2,7
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2018;4,1
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2017;4,8
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2016;5,9
29021 Atajate;2902101 Atajate distrito 01;;Distribución de la renta P80/P20;2015;3,5
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2023;33,2
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2022;33,6
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2021;34,5
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2020;33
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2019;33,3
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2018;40,1
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2017;42,2
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2016;39,2
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Índice de Gini;2015;39,8
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2023;2,2
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2022;2,4
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2021;2,7
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2020;2,8
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2019;2,7
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2018;4,1
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2017;4,8
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2016;5,9
29021 Atajate;2902101 Atajate distrito 01;2902101001 Atajate sección 01001;Distribución de la renta P80/P20;2015;3,5
29022 Benadalid;;;Índice de Gini;2023;32,6
29022 Benadalid;;;Índice de Gini;2022;31,4
29022 Benadalid;;;Índice de Gini;2021;34,5
29022 Benadalid;;;Índice de Gini;2020;34,9
29022 Benadalid;;;Índice de Gini;2019;32,2
29022 Benadalid;;;Índice de Gini;2018;35,2
29022 Benadalid;;;Índice de Gini;2017;33,6
29022 Benadalid;;;Índice de Gini;2016;33,2
29022 Benadalid;;;Índice de Gini;2015;31,2
29022 Benadalid;;;Distribución de la renta P80/P20;2023;3
29022 Benadalid;;;Distribución de la renta P80/P20;2022;2,8
29022 Benadalid;;;Distribución de la renta P80/P20;2021;3,2
29022 Benadalid;;;Distribución de la renta P80/P20;2020;2,6
29022 Benadalid;;;Distribución de la renta P80/P20;2019;2,7
29022 Benadalid;;;Distribución de la renta P80/P20;2018;2,8
29022 Benadalid;;;Distribución de la renta P80/P20;2017;2,5
29022 Benadalid;;;Distribución de la renta P80/P20;2016;2,7
29022 Benadalid;;;Distribución de la renta P80/P20;2015;2,5
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2023;32,6
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2022;31,4
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2021;34,5
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2020;34,9
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2019;32,2
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2018;35,2
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2017;33,6
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2016;33,2
29022 Benadalid;2902201 Benadalid distrito 01;;Índice de Gini;2015;31,2
29022 Benadalid;2902201 Benadalid distrito 01;;Distribución de la renta P80/P20;2023;3
29022 Benadalid;2902201 Benadalid distrito 01;;Distribución de la renta P80/P20;2022;2,8
29022 Benadalid;2902201 Benadalid distrito 01;;Distribución de la renta P80/P20;2021;3,2
29022 Benadalid;2902201 Benadalid distrito 01;;Distribución de la renta P80/P20;2020;2,6
