Municipios;Sexo;Periodo;Total
29005 Algarrobo;Total;2024;6.909
29005 Algarrobo;Total;2023;6.773
29005 Algarrobo;Total;2022;6.625
29005 Algarrobo;Total;2021;6.551
29005 Algarrobo;Total;2020;6.556
29005 Algarrobo;Total;2019;6.444
29005 Algarrobo;Total;2018;6.367
29005 Algarrobo;Total;2017;6.284
29005 Algarrobo;Total;2016;6.232
29005 Algarrobo;Total;2015;6.013
29005 Algarrobo;Hombres;2025;3.568
29005 Algarrobo;Hombres;2024;3.471
29005 Algarrobo;Hombres;2023;3.375
29005 Algarrobo;Hombres;2022;3.305
29005 Algarrobo;Hombres;2021;3.298
29005 Algarrobo;Hombres;2020;3.296
29005 Algarrobo;Hombres;2019;3.238
29005 Algarrobo;Hombres;2018;3.191
29005 Algarrobo;Hombres;2017;3.152
29005 Algarrobo;Hombres;2016;3.136
29005 Algarrobo;Hombres;2015;3.035
29005 Algarrobo;Mujeres;2025;3.535
29005 Algarrobo;Mujeres;2024;3.438
29005 Algarrobo;Mujeres;2023;3.398
29005 Algarrobo;Mujeres;2022;3.320
29005 Algarrobo;Mujeres;2021;3.253
29005 Algarrobo;Mujeres;2020;3.260
29005 Algarrobo;Mujeres;2019;3.206
29005 Algarrobo;Mujeres;2018;3.176
29005 Algarrobo;Mujeres;2017;3.132
29005 Algarrobo;Mujeres;2016;3.096
29005 Algarrobo;Mujeres;2015;2.978
29006 Algatocín;Total;2025;816
29006 Algatocín;Total;2024;834
29006 Algatocín;Total;2023;829
29006 Algatocín;Total;2022;826
29006 Algatocín;Total;2021;825
29006 Algatocín;Total;2020;814
29006 Algatocín;Total;2019;793
29006 Algatocín;Total;2018;778
29006 Algatocín;Total;2017;778
29006 Algatocín;Total;2016;795
29006 Algatocín;Total;2015;834
29006 Algatocín;Hombres;2025;431
29006 Algatocín;Hombres;2024;439
29006 Algatocín;Hombres;2023;442
29006 Algatocín;Hombres;2022;439
29006 Algatocín;Hombres;2021;429
29006 Algatocín;Hombres;2020;420
29006 Algatocín;Hombres;2019;410
29006 Algatocín;Hombres;2018;411
29006 Algatocín;Hombres;2017;402
29006 Algatocín;Hombres;2016;409
29006 Algatocín;Hombres;2015;432
29006 Algatocín;Mujeres;2025;385
29006 Algatocín;Mujeres;2024;395
29006 Algatocín;Mujeres;2023;387
29006 Algatocín;Mujeres;2022;387
29006 Algatocín;Mujeres;2021;396
