Municipios;Sexo;Periodo;Total
29021 Atajate;Mujeres;2021;79
29021 Atajate;Mujeres;2020;77
29021 Atajate;Mujeres;2019;77
29021 Atajate;Mujeres;2018;78
29021 Atajate;Mujeres;2017;78
29021 Atajate;Mujeres;2016;81
29021 Atajate;Mujeres;2015;75
29022 Benadalid;Total;2025;226
29022 Benadalid;Total;2024;234
29022 Benadalid;Total;2023;230
29022 Benadalid;Total;2022;239
29022 Benadalid;Total;2021;236
29022 Benadalid;Total;2020;233
29022 Benadalid;Total;2019;215
29022 Benadalid;Total;2018;225
29022 Benadalid;Total;2017;223
29022 Benadalid;Total;2016;232
29022 Benadalid;Total;2015;253
29022 Benadalid;Hombres;2025;108
29022 Benadalid;Hombres;2024;113
29022 Benadalid;Hombres;2023;112
29022 Benadalid;Hombres;2022;118
29022 Benadalid;Hombres;2021;118
29022 Benadalid;Hombres;2020;117
29022 Benadalid;Hombres;2019;108
29022 Benadalid;Hombres;2018;110
29022 Benadalid;Hombres;2017;111
29022 Benadalid;Hombres;2016;117
29022 Benadalid;Hombres;2015;124
29022 Benadalid;Mujeres;2025;118
29022 Benadalid;Mujeres;2024;121
29022 Benadalid;Mujeres;2023;118
29022 Benadalid;Mujeres;2022;121
29022 Benadalid;Mujeres;2021;118
29022 Benadalid;Mujeres;2020;116
29022 Benadalid;Mujeres;2019;107
29022 Benadalid;Mujeres;2018;115
29022 Benadalid;Mujeres;2017;112
29022 Benadalid;Mujeres;2016;115
29022 Benadalid;Mujeres;2015;129
29023 Benahavís;Total;2025;9.472
29023 Benahavís;Total;2024;9.077
29023 Benahavís;Total;2023;9.244
29023 Benahavís;Total;2022;8.763
29023 Benahavís;Total;2021;7.829
29023 Benahavís;Total;2020;7.748
29023 Benahavís;Total;2019;8.085
29023 Benahavís;Total;2018;7.989
29023 Benahavís;Total;2017;7.348
29023 Benahavís;Total;2016;7.342
29023 Benahavís;Total;2015;7.105
29023 Benahavís;Hombres;2025;4.732
29023 Benahavís;Hombres;2024;4.518
29023 Benahavís;Hombres;2023;4.612
29023 Benahavís;Hombres;2022;4.368
29023 Benahavís;Hombres;2021;3.871
29023 Benahavís;Hombres;2020;3.850
29023 Benahavís;Hombres;2019;4.043
29023 Benahavís;Hombres;2018;4.024
29023 Benahavís;Hombres;2017;3.703
29023 Benahavís;Hombres;2016;3.686
29023 Benahavís;Hombres;2015;3.555
29023 Benahavís;Mujeres;2025;4.740
29023 Benahavís;Mujeres;2024;4.559
29023 Benahavís;Mujeres;2023;4.632
29023 Benahavís;Mujeres;2022;4.395
29023 Benahavís;Mujeres;2021;3.958
29023 Benahavís;Mujeres;2020;3.898
29023 Benahavís;Mujeres;2019;4.042
29023 Benahavís;Mujeres;2018;3.965
29023 Benahavís;Mujeres;2017;3.645
29023 Benahavís;Mujeres;2016;3.656
29023 Benahavís;Mujeres;2015;3.550
29024 Benalauría;Total;2025;460
29024 Benalauría;Total;2024;465
29024 Benalauría;Total;2023;460
29024 Benalauría;Total;2022;434
29024 Benalauría;Total;2021;436
29024 Benalauría;Total;2020;438
29024 Benalauría;Total;2019;438
29024 Benalauría;Total;2018;443
29024 Benalauría;Total;2017;449
29024 Benalauría;Total;2016;456
29024 Benalauría;Total;2015;470
29024 Benalauría;Hombres;2025;244
29024 Benalauría;Hombres;2024;248
29024 Benalauría;Hombres;2023;240
29024 Benalauría;Hombres;2022;229
29024 Benalauría;Hombres;2021;227
29024 Benalauría;Hombres;2020;231
29024 Benalauría;Hombres;2019;231
29024 Benalauría;Hombres;2018;227
29024 Benalauría;Hombres;2017;237
29024 Benalauría;Hombres;2016;241
29024 Benalauría;Hombres;2015;255
29024 Benalauría;Mujeres;2025;216
29024 Benalauría;Mujeres;2024;217
29024 Benalauría;Mujeres;2023;220
29024 Benalauría;Mujeres;2022;205
29024 Benalauría;Mujeres;2021;209
29024 Benalauría;Mujeres;2020;207
29024 Benalauría;Mujeres;2019;207
29024 Benalauría;Mujeres;2018;216
29024 Benalauría;Mujeres;2017;212
29024 Benalauría;Mujeres;2016;215
29024 Benalauría;Mujeres;2015;215
29025 Benalmádena;Total;2025;78.338
29025 Benalmádena;Total;2024;77.654
29025 Benalmádena;Total;2023;75.801
29025 Benalmádena;Total;2022;73.160
29025 Benalmádena;Total;2021;70.204
29025 Benalmádena;Total;2020;69.144
29025 Benalmádena;Total;2019;68.128
29025 Benalmádena;Total;2018;67.746
29025 Benalmádena;Total;2017;68.859
29025 Benalmádena;Total;2016;67.245
29025 Benalmádena;Total;2015;66.598
29025 Benalmádena;Hombres;2025;38.209
29025 Benalmádena;Hombres;2024;37.965
29025 Benalmádena;Hombres;2023;37.050
29025 Benalmádena;Hombres;2022;35.839
29025 Benalmádena;Hombres;2021;34.383
29025 Benalmádena;Hombres;2020;33.892
29025 Benalmádena;Hombres;2019;33.521
29025 Benalmádena;Hombres;2018;33.385
29025 Benalmádena;Hombres;2017;34.082
29025 Benalmádena;Hombres;2016;33.273
29025 Benalmádena;Hombres;2015;32.976
29025 Benalmádena;Mujeres;2025;40.129
29025 Benalmádena;Mujeres;2024;39.689
29025 Benalmádena;Mujeres;2023;38.751
29025 Benalmádena;Mujeres;2022;37.321
29025 Benalmádena;Mujeres;2021;35.821
29025 Benalmádena;Mujeres;2020;35.252
29025 Benalmádena;Mujeres;2019;34.607
29025 Benalmádena;Mujeres;2018;34.361
29025 Benalmádena;Mujeres;2017;34.777
29025 Benalmádena;Mujeres;2016;33.972
29025 Benalmádena;Mujeres;2015;33.622
29026 Benamargosa;Total;2025;1.560
29026 Benamargosa;Total;2024;1.552
29026 Benamargosa;Total;2023;1.557
29026 Benamargosa;Total;2022;1.519
29026 Benamargosa;Total;2021;1.535
29026 Benamargosa;Total;2020;1.535
29026 Benamargosa;Total;2019;1.514
29026 Benamargosa;Total;2018;1.496
29026 Benamargosa;Total;2017;1.532
29026 Benamargosa;Total;2016;1.558
29026 Benamargosa;Total;2015;1.568
29026 Benamargosa;Hombres;2025;791
29026 Benamargosa;Hombres;2024;795
29026 Benamargosa;Hombres;2023;802
29026 Benamargosa;Hombres;2022;785
29026 Benamargosa;Hombres;2021;787
29026 Benamargosa;Hombres;2020;799
29026 Benamargosa;Hombres;2019;788
29026 Benamargosa;Hombres;2018;772
29026 Benamargosa;Hombres;2017;791
29026 Benamargosa;Hombres;2016;802
29026 Benamargosa;Hombres;2015;808
29026 Benamargosa;Mujeres;2025;769
29026 Benamargosa;Mujeres;2024;757
29026 Benamargosa;Mujeres;2023;755
29026 Benamargosa;Mujeres;2022;734
29026 Benamargosa;Mujeres;2021;748
29026 Benamargosa;Mujeres;2020;736
29026 Benamargosa;Mujeres;2019;726
29026 Benamargosa;Mujeres;2018;724
29026 Benamargosa;Mujeres;2017;741
29026 Benamargosa;Mujeres;2016;756
29026 Benamargosa;Mujeres;2015;760
29027 Benamocarra;Total;2025;3.200
29027 Benamocarra;Total;2024;3.115
29027 Benamocarra;Total;2023;3.079
29027 Benamocarra;Total;2022;3.085
29027 Benamocarra;Total;2021;3.030
29027 Benamocarra;Total;2020;3.046
29027 Benamocarra;Total;2019;3.011
29027 Benamocarra;Total;2018;2.999
29027 Benamocarra;Total;2017;2.988
29027 Benamocarra;Total;2016;2.999
29027 Benamocarra;Total;2015;3.047
29027 Benamocarra;Hombres;2025;1.591
29027 Benamocarra;Hombres;2024;1.551
29027 Benamocarra;Hombres;2023;1.549
29027 Benamocarra;Hombres;2022;1.541
29027 Benamocarra;Hombres;2021;1.516
29027 Benamocarra;Hombres;2020;1.522
29027 Benamocarra;Hombres;2019;1.509
29027 Benamocarra;Hombres;2018;1.511
29027 Benamocarra;Hombres;2017;1.515
29027 Benamocarra;Hombres;2016;1.514
29027 Benamocarra;Hombres;2015;1.541
29027 Benamocarra;Mujeres;2025;1.609
29027 Benamocarra;Mujeres;2024;1.564
29027 Benamocarra;Mujeres;2023;1.530
29027 Benamocarra;Mujeres;2022;1.544
29027 Benamocarra;Mujeres;2021;1.514
29027 Benamocarra;Mujeres;2020;1.524
29027 Benamocarra;Mujeres;2019;1.502
29027 Benamocarra;Mujeres;2018;1.488
29027 Benamocarra;Mujeres;2017;1.473
29027 Benamocarra;Mujeres;2016;1.485
29027 Benamocarra;Mujeres;2015;1.506
29028 Benaoján;Total;2025;1.427
29028 Benaoján;Total;2024;1.428
29028 Benaoján;Total;2023;1.437
29028 Benaoján;Total;2022;1.459
29028 Benaoján;Total;2021;1.470
29028 Benaoján;Total;2020;1.453
29028 Benaoján;Total;2019;1.476
29028 Benaoján;Total;2018;1.488
29028 Benaoján;Total;2017;1.497
29028 Benaoján;Total;2016;1.491
29028 Benaoján;Total;2015;1.513
29028 Benaoján;Hombres;2025;738
29028 Benaoján;Hombres;2024;731
29028 Benaoján;Hombres;2023;735
29028 Benaoján;Hombres;2022;742
29028 Benaoján;Hombres;2021;747
29028 Benaoján;Hombres;2020;743
29028 Benaoján;Hombres;2019;765
29028 Benaoján;Hombres;2018;775
29028 Benaoján;Hombres;2017;779
29028 Benaoján;Hombres;2016;777
29028 Benaoján;Hombres;2015;787
29028 Benaoján;Mujeres;2025;689
29028 Benaoján;Mujeres;2024;697
29028 Benaoján;Mujeres;2023;702
29028 Benaoján;Mujeres;2022;717
29028 Benaoján;Mujeres;2021;723
29028 Benaoján;Mujeres;2020;710
29028 Benaoján;Mujeres;2019;711
29028 Benaoján;Mujeres;2018;713
29028 Benaoján;Mujeres;2017;718
29028 Benaoján;Mujeres;2016;714
29028 Benaoján;Mujeres;2015;726
29029 Benarrabá;Total;2025;457
29029 Benarrabá;Total;2024;462
29029 Benarrabá;Total;2023;454
29029 Benarrabá;Total;2022;446
29029 Benarrabá;Total;2021;438
29029 Benarrabá;Total;2020;446
29029 Benarrabá;Total;2019;455
29029 Benarrabá;Total;2018;458
29029 Benarrabá;Total;2017;480
29029 Benarrabá;Total;2016;493
29029 Benarrabá;Total;2015;521
29029 Benarrabá;Hombres;2025;236
29029 Benarrabá;Hombres;2024;239
29029 Benarrabá;Hombres;2023;237
29029 Benarrabá;Hombres;2022;231
29029 Benarrabá;Hombres;2021;231
29029 Benarrabá;Hombres;2020;233
29029 Benarrabá;Hombres;2019;230
29029 Benarrabá;Hombres;2018;229
29029 Benarrabá;Hombres;2017;240
29029 Benarrabá;Hombres;2016;248
29029 Benarrabá;Hombres;2015;258
29029 Benarrabá;Mujeres;2025;221
29029 Benarrabá;Mujeres;2024;223
29029 Benarrabá;Mujeres;2023;217
29029 Benarrabá;Mujeres;2022;215
29029 Benarrabá;Mujeres;2021;207
29029 Benarrabá;Mujeres;2020;213
29029 Benarrabá;Mujeres;2019;225
29029 Benarrabá;Mujeres;2018;229
29029 Benarrabá;Mujeres;2017;240
29029 Benarrabá;Mujeres;2016;245
29029 Benarrabá;Mujeres;2015;263
29030 Borge, El;Total;2025;958
29030 Borge, El;Total;2024;941
29030 Borge, El;Total;2023;925
29030 Borge, El;Total;2022;921
29030 Borge, El;Total;2021;906
29030 Borge, El;Total;2020;922
29030 Borge, El;Total;2019;930
29030 Borge, El;Total;2018;933
29030 Borge, El;Total;2017;940
29030 Borge, El;Total;2016;960
29030 Borge, El;Total;2015;963
29030 Borge, El;Hombres;2025;486
29030 Borge, El;Hombres;2024;481
29030 Borge, El;Hombres;2023;472
29030 Borge, El;Hombres;2022;470
29030 Borge, El;Hombres;2021;461
29030 Borge, El;Hombres;2020;474
29030 Borge, El;Hombres;2019;483
29030 Borge, El;Hombres;2018;490
29030 Borge, El;Hombres;2017;493
29030 Borge, El;Hombres;2016;498
29030 Borge, El;Hombres;2015;499
29030 Borge, El;Mujeres;2025;472
29030 Borge, El;Mujeres;2024;460
29030 Borge, El;Mujeres;2023;453
29030 Borge, El;Mujeres;2022;451
29030 Borge, El;Mujeres;2021;445
29030 Borge, El;Mujeres;2020;448
29030 Borge, El;Mujeres;2019;447
29030 Borge, El;Mujeres;2018;443
29030 Borge, El;Mujeres;2017;447
29030 Borge, El;Mujeres;2016;462
29030 Borge, El;Mujeres;2015;464
29031 Burgo, El;Total;2025;1.761
29031 Burgo, El;Total;2024;1.758
29031 Burgo, El;Total;2023;1.780
29031 Burgo, El;Total;2022;1.791
29031 Burgo, El;Total;2021;1.805
29031 Burgo, El;Total;2020;1.792
29031 Burgo, El;Total;2019;1.800
29031 Burgo, El;Total;2018;1.823
29031 Burgo, El;Total;2017;1.848
29031 Burgo, El;Total;2016;1.871
29031 Burgo, El;Total;2015;1.929
29031 Burgo, El;Hombres;2025;898
29031 Burgo, El;Hombres;2024;894
29031 Burgo, El;Hombres;2023;906
29031 Burgo, El;Hombres;2022;905
29031 Burgo, El;Hombres;2021;917
29031 Burgo, El;Hombres;2020;922
29031 Burgo, El;Hombres;2019;929
29031 Burgo, El;Hombres;2018;934
29031 Burgo, El;Hombres;2017;940
29031 Burgo, El;Hombres;2016;950
29031 Burgo, El;Hombres;2015;973
29031 Burgo, El;Mujeres;2025;863
29031 Burgo, El;Mujeres;2024;864
29031 Burgo, El;Mujeres;2023;874
29031 Burgo, El;Mujeres;2022;886
29031 Burgo, El;Mujeres;2021;888
29031 Burgo, El;Mujeres;2020;870
29031 Burgo, El;Mujeres;2019;871
29031 Burgo, El;Mujeres;2018;889
29031 Burgo, El;Mujeres;2017;908
29031 Burgo, El;Mujeres;2016;921
29031 Burgo, El;Mujeres;2015;956
29032 Campillos;Total;2025;8.561
29032 Campillos;Total;2024;8.499
29032 Campillos;Total;2023;8.435
29032 Campillos;Total;2022;8.372
29032 Campillos;Total;2021;8.301
29032 Campillos;Total;2020;8.387
29032 Campillos;Total;2019;8.444
29032 Campillos;Total;2018;8.517
29032 Campillos;Total;2017;8.547
29032 Campillos;Total;2016;8.511
29032 Campillos;Total;2015;8.524
29032 Campillos;Hombres;2025;4.303
29032 Campillos;Hombres;2024;4.255
29032 Campillos;Hombres;2023;4.226
29032 Campillos;Hombres;2022;4.204
29032 Campillos;Hombres;2021;4.162
29032 Campillos;Hombres;2020;4.219
29032 Campillos;Hombres;2019;4.270
29032 Campillos;Hombres;2018;4.319
29032 Campillos;Hombres;2017;4.345
29032 Campillos;Hombres;2016;4.268
29032 Campillos;Hombres;2015;4.265
29032 Campillos;Mujeres;2025;4.258
29032 Campillos;Mujeres;2024;4.244
29032 Campillos;Mujeres;2023;4.209
29032 Campillos;Mujeres;2022;4.168
29032 Campillos;Mujeres;2021;4.139
29032 Campillos;Mujeres;2020;4.168
29032 Campillos;Mujeres;2019;4.174
29032 Campillos;Mujeres;2018;4.198
29032 Campillos;Mujeres;2017;4.202
29032 Campillos;Mujeres;2016;4.243
29032 Campillos;Mujeres;2015;4.259
29033 Canillas de Aceituno;Total;2025;1.801
29033 Canillas de Aceituno;Total;2024;1.777
29033 Canillas de Aceituno;Total;2023;1.767
29033 Canillas de Aceituno;Total;2022;1.722
29033 Canillas de Aceituno;Total;2021;1.704
29033 Canillas de Aceituno;Total;2020;1.680
29033 Canillas de Aceituno;Total;2019;1.677
29033 Canillas de Aceituno;Total;2018;1.620
29033 Canillas de Aceituno;Total;2017;1.672
29033 Canillas de Aceituno;Total;2016;1.710
29033 Canillas de Aceituno;Total;2015;1.737
29033 Canillas de Aceituno;Hombres;2025;931
29033 Canillas de Aceituno;Hombres;2024;922
29033 Canillas de Aceituno;Hombres;2023;920
29033 Canillas de Aceituno;Hombres;2022;903
29033 Canillas de Aceituno;Hombres;2021;886
29033 Canillas de Aceituno;Hombres;2020;882
29033 Canillas de Aceituno;Hombres;2019;890
29033 Canillas de Aceituno;Hombres;2018;861
29033 Canillas de Aceituno;Hombres;2017;891
29033 Canillas de Aceituno;Hombres;2016;908
29033 Canillas de Aceituno;Hombres;2015;911
29033 Canillas de Aceituno;Mujeres;2025;870
29033 Canillas de Aceituno;Mujeres;2024;855
29033 Canillas de Aceituno;Mujeres;2023;847
29033 Canillas de Aceituno;Mujeres;2022;819
29033 Canillas de Aceituno;Mujeres;2021;818
29033 Canillas de Aceituno;Mujeres;2020;798
29033 Canillas de Aceituno;Mujeres;2019;787
29033 Canillas de Aceituno;Mujeres;2018;759
29033 Canillas de Aceituno;Mujeres;2017;781
29033 Canillas de Aceituno;Mujeres;2016;802
29033 Canillas de Aceituno;Mujeres;2015;826
29034 Canillas de Albaida;Total;2025;807
29034 Canillas de Albaida;Total;2024;799
29034 Canillas de Albaida;Total;2023;801
29034 Canillas de Albaida;Total;2022;796
29034 Canillas de Albaida;Total;2021;811
29034 Canillas de Albaida;Total;2020;759
29034 Canillas de Albaida;Total;2019;716
29034 Canillas de Albaida;Total;2018;732
29034 Canillas de Albaida;Total;2017;741
29034 Canillas de Albaida;Total;2016;773
29034 Canillas de Albaida;Total;2015;842
29034 Canillas de Albaida;Hombres;2025;403
29034 Canillas de Albaida;Hombres;2024;396
29034 Canillas de Albaida;Hombres;2023;393
29034 Canillas de Albaida;Hombres;2022;387
29034 Canillas de Albaida;Hombres;2021;396
29034 Canillas de Albaida;Hombres;2020;375
29034 Canillas de Albaida;Hombres;2019;355
29034 Canillas de Albaida;Hombres;2018;363
29034 Canillas de Albaida;Hombres;2017;369
29034 Canillas de Albaida;Hombres;2016;387
29034 Canillas de Albaida;Hombres;2015;426
29034 Canillas de Albaida;Mujeres;2025;404
29034 Canillas de Albaida;Mujeres;2024;403
29034 Canillas de Albaida;Mujeres;2023;408
29034 Canillas de Albaida;Mujeres;2022;409
29034 Canillas de Albaida;Mujeres;2021;415
29034 Canillas de Albaida;Mujeres;2020;384
29034 Canillas de Albaida;Mujeres;2019;361
29034 Canillas de Albaida;Mujeres;2018;369
29034 Canillas de Albaida;Mujeres;2017;372
29034 Canillas de Albaida;Mujeres;2016;386
29034 Canillas de Albaida;Mujeres;2015;416
29035 Cañete la Real;Total;2025;1.569
29035 Cañete la Real;Total;2024;1.587
29035 Cañete la Real;Total;2023;1.598
29035 Cañete la Real;Total;2022;1.584
29035 Cañete la Real;Total;2021;1.633
29035 Cañete la Real;Total;2020;1.633
29035 Cañete la Real;Total;2019;1.665
29035 Cañete la Real;Total;2018;1.691
29035 Cañete la Real;Total;2017;1.674
29035 Cañete la Real;Total;2016;1.710
29035 Cañete la Real;Total;2015;1.738
29035 Cañete la Real;Hombres;2025;780
29035 Cañete la Real;Hombres;2024;793
29035 Cañete la Real;Hombres;2023;786
29035 Cañete la Real;Hombres;2022;776
29035 Cañete la Real;Hombres;2021;811
29035 Cañete la Real;Hombres;2020;819
29035 Cañete la Real;Hombres;2019;846
29035 Cañete la Real;Hombres;2018;849
29035 Cañete la Real;Hombres;2017;840
29035 Cañete la Real;Hombres;2016;862
29035 Cañete la Real;Hombres;2015;885
29035 Cañete la Real;Mujeres;2025;789
29035 Cañete la Real;Mujeres;2024;794
29035 Cañete la Real;Mujeres;2023;812
29035 Cañete la Real;Mujeres;2022;808
29035 Cañete la Real;Mujeres;2021;822
29035 Cañete la Real;Mujeres;2020;814
29035 Cañete la Real;Mujeres;2019;819
29035 Cañete la Real;Mujeres;2018;842
29035 Cañete la Real;Mujeres;2017;834
29035 Cañete la Real;Mujeres;2016;848
29035 Cañete la Real;Mujeres;2015;853
29036 Carratraca;Total;2025;801
29036 Carratraca;Total;2024;786
29036 Carratraca;Total;2023;750
29036 Carratraca;Total;2022;718
29036 Carratraca;Total;2021;719
29036 Carratraca;Total;2020;740
29036 Carratraca;Total;2019;731
29036 Carratraca;Total;2018;748
29036 Carratraca;Total;2017;751
29036 Carratraca;Total;2016;750
29036 Carratraca;Total;2015;775
29036 Carratraca;Hombres;2025;417
29036 Carratraca;Hombres;2024;410
29036 Carratraca;Hombres;2023;391
29036 Carratraca;Hombres;2022;377
29036 Carratraca;Hombres;2021;376
29036 Carratraca;Hombres;2020;387
29036 Carratraca;Hombres;2019;383
29036 Carratraca;Hombres;2018;391
29036 Carratraca;Hombres;2017;390
29036 Carratraca;Hombres;2016;383
29036 Carratraca;Hombres;2015;395
29036 Carratraca;Mujeres;2025;384
29036 Carratraca;Mujeres;2024;376
29036 Carratraca;Mujeres;2023;359
29036 Carratraca;Mujeres;2022;341
29036 Carratraca;Mujeres;2021;343
29036 Carratraca;Mujeres;2020;353
29036 Carratraca;Mujeres;2019;348
29036 Carratraca;Mujeres;2018;357
29036 Carratraca;Mujeres;2017;361
29036 Carratraca;Mujeres;2016;367
29036 Carratraca;Mujeres;2015;380
29037 Cartajima;Total;2025;234
29037 Cartajima;Total;2024;229
29037 Cartajima;Total;2023;232
29037 Cartajima;Total;2022;256
29037 Cartajima;Total;2021;259
29037 Cartajima;Total;2020;242
29037 Cartajima;Total;2019;253
29037 Cartajima;Total;2018;247
29037 Cartajima;Total;2017;244
29037 Cartajima;Total;2016;241
29037 Cartajima;Total;2015;247
29037 Cartajima;Hombres;2025;123
29037 Cartajima;Hombres;2024;119
29037 Cartajima;Hombres;2023;121
29037 Cartajima;Hombres;2022;133
29037 Cartajima;Hombres;2021;138
29037 Cartajima;Hombres;2020;129
29037 Cartajima;Hombres;2019;136
29037 Cartajima;Hombres;2018;133
29037 Cartajima;Hombres;2017;130
29037 Cartajima;Hombres;2016;126
29037 Cartajima;Hombres;2015;129
29037 Cartajima;Mujeres;2025;111
29037 Cartajima;Mujeres;2024;110
29037 Cartajima;Mujeres;2023;111
29037 Cartajima;Mujeres;2022;123
29037 Cartajima;Mujeres;2021;121
29037 Cartajima;Mujeres;2020;113
29037 Cartajima;Mujeres;2019;117
29037 Cartajima;Mujeres;2018;114
29037 Cartajima;Mujeres;2017;114
29037 Cartajima;Mujeres;2016;115
29037 Cartajima;Mujeres;2015;118
29038 Cártama;Total;2025;29.333
29038 Cártama;Total;2024;28.934
29038 Cártama;Total;2023;28.412
29038 Cártama;Total;2022;27.712
29038 Cártama;Total;2021;27.436
29038 Cártama;Total;2020;26.738
29038 Cártama;Total;2019;26.259
29038 Cártama;Total;2018;25.758
29038 Cártama;Total;2017;25.317
29038 Cártama;Total;2016;24.824
29038 Cártama;Total;2015;24.592
29038 Cártama;Hombres;2025;14.829
29038 Cártama;Hombres;2024;14.627
29038 Cártama;Hombres;2023;14.352
29038 Cártama;Hombres;2022;14.028
29038 Cártama;Hombres;2021;13.883
29038 Cártama;Hombres;2020;13.523
29038 Cártama;Hombres;2019;13.266
29038 Cártama;Hombres;2018;13.011
29038 Cártama;Hombres;2017;12.772
29038 Cártama;Hombres;2016;12.568
29038 Cártama;Hombres;2015;12.497
29038 Cártama;Mujeres;2025;14.504
29038 Cártama;Mujeres;2024;14.307
29038 Cártama;Mujeres;2023;14.060
29038 Cártama;Mujeres;2022;13.684
29038 Cártama;Mujeres;2021;13.553
29038 Cártama;Mujeres;2020;13.215
29038 Cártama;Mujeres;2019;12.993
29038 Cártama;Mujeres;2018;12.747
29038 Cártama;Mujeres;2017;12.545
29038 Cártama;Mujeres;2016;12.256
29038 Cártama;Mujeres;2015;12.095
29039 Casabermeja;Total;2025;4.214
29039 Casabermeja;Total;2024;4.065
29039 Casabermeja;Total;2023;3.910
29039 Casabermeja;Total;2022;3.813
29039 Casabermeja;Total;2021;3.712
29039 Casabermeja;Total;2020;3.629
29039 Casabermeja;Total;2019;3.522
29039 Casabermeja;Total;2018;3.507
29039 Casabermeja;Total;2017;3.442
29039 Casabermeja;Total;2016;3.443
29039 Casabermeja;Total;2015;3.418
29039 Casabermeja;Hombres;2025;2.187
29039 Casabermeja;Hombres;2024;2.110
29039 Casabermeja;Hombres;2023;2.037
29039 Casabermeja;Hombres;2022;1.976
29039 Casabermeja;Hombres;2021;1.939
29039 Casabermeja;Hombres;2020;1.904
29039 Casabermeja;Hombres;2019;1.844
29039 Casabermeja;Hombres;2018;1.822
29039 Casabermeja;Hombres;2017;1.806
29039 Casabermeja;Hombres;2016;1.818
29039 Casabermeja;Hombres;2015;1.815
29039 Casabermeja;Mujeres;2025;2.027
29039 Casabermeja;Mujeres;2024;1.955
29039 Casabermeja;Mujeres;2023;1.873
29039 Casabermeja;Mujeres;2022;1.837
29039 Casabermeja;Mujeres;2021;1.773
29039 Casabermeja;Mujeres;2020;1.725
29039 Casabermeja;Mujeres;2019;1.678
29039 Casabermeja;Mujeres;2018;1.685
29039 Casabermeja;Mujeres;2017;1.636
29039 Casabermeja;Mujeres;2016;1.625
29039 Casabermeja;Mujeres;2015;1.603
29040 Casarabonela;Total;2025;2.800
29040 Casarabonela;Total;2024;2.758
29040 Casarabonela;Total;2023;2.522
29040 Casarabonela;Total;2022;2.524
29040 Casarabonela;Total;2021;2.532
29040 Casarabonela;Total;2020;2.514
29040 Casarabonela;Total;2019;2.502
29040 Casarabonela;Total;2018;2.510
29040 Casarabonela;Total;2017;2.550
29040 Casarabonela;Total;2016;2.573
29040 Casarabonela;Total;2015;2.599
29040 Casarabonela;Hombres;2025;1.476
29040 Casarabonela;Hombres;2024;1.461
29040 Casarabonela;Hombres;2023;1.351
29040 Casarabonela;Hombres;2022;1.357
29040 Casarabonela;Hombres;2021;1.349
29040 Casarabonela;Hombres;2020;1.339
29040 Casarabonela;Hombres;2019;1.336
29040 Casarabonela;Hombres;2018;1.336
29040 Casarabonela;Hombres;2017;1.350
29040 Casarabonela;Hombres;2016;1.363
29040 Casarabonela;Hombres;2015;1.363
29040 Casarabonela;Mujeres;2025;1.324
29040 Casarabonela;Mujeres;2024;1.297
29040 Casarabonela;Mujeres;2023;1.171
29040 Casarabonela;Mujeres;2022;1.167
29040 Casarabonela;Mujeres;2021;1.183
29040 Casarabonela;Mujeres;2020;1.175
29040 Casarabonela;Mujeres;2019;1.166
29040 Casarabonela;Mujeres;2018;1.174
29040 Casarabonela;Mujeres;2017;1.200
29040 Casarabonela;Mujeres;2016;1.210
29040 Casarabonela;Mujeres;2015;1.236
29041 Casares;Total;2025;9.009
29041 Casares;Total;2024;8.486
29041 Casares;Total;2023;8.111
29041 Casares;Total;2022;7.700
29041 Casares;Total;2021;7.342
29041 Casares;Total;2020;6.883
29041 Casares;Total;2019;6.515
29041 Casares;Total;2018;6.121
29041 Casares;Total;2017;5.743
29041 Casares;Total;2016;5.795
29041 Casares;Total;2015;5.954
29041 Casares;Hombres;2025;4.598
29041 Casares;Hombres;2024;4.329
29041 Casares;Hombres;2023;4.166
29041 Casares;Hombres;2022;3.946
29041 Casares;Hombres;2021;3.764
29041 Casares;Hombres;2020;3.526
29041 Casares;Hombres;2019;3.355
29041 Casares;Hombres;2018;3.151
29041 Casares;Hombres;2017;2.932
29041 Casares;Hombres;2016;2.977
29041 Casares;Hombres;2015;3.069
29041 Casares;Mujeres;2025;4.411
29041 Casares;Mujeres;2024;4.157
29041 Casares;Mujeres;2023;3.945
29041 Casares;Mujeres;2022;3.754
29041 Casares;Mujeres;2021;3.578
29041 Casares;Mujeres;2020;3.357
29041 Casares;Mujeres;2019;3.160
29041 Casares;Mujeres;2018;2.970
29041 Casares;Mujeres;2017;2.811
29041 Casares;Mujeres;2016;2.818
29041 Casares;Mujeres;2015;2.885
29042 Coín;Total;2025;26.574
29042 Coín;Total;2024;25.809
29042 Coín;Total;2023;25.023
29042 Coín;Total;2022;24.309
29042 Coín;Total;2021;23.375
29042 Coín;Total;2020;22.673
29042 Coín;Total;2019;22.147
29042 Coín;Total;2018;21.716
29042 Coín;Total;2017;21.562
29042 Coín;Total;2016;21.456
29042 Coín;Total;2015;21.561
29042 Coín;Hombres;2025;13.299
29042 Coín;Hombres;2024;12.975
29042 Coín;Hombres;2023;12.542
29042 Coín;Hombres;2022;12.169
29042 Coín;Hombres;2021;11.697
29042 Coín;Hombres;2020;11.358
29042 Coín;Hombres;2019;11.094
29042 Coín;Hombres;2018;10.911
29042 Coín;Hombres;2017;10.824
29042 Coín;Hombres;2016;10.790
29042 Coín;Hombres;2015;10.868
29042 Coín;Mujeres;2025;13.275
