Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2022;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2021;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2020;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2019;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2018;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2017;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2016;""
29001 Alameda;2900101 Alameda distrito 01;2900101002 Alameda sección 01002;Renta neta media por hogar;2015;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2023;9.177
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2022;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2021;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2020;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2019;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2018;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2017;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2016;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por persona;2015;""
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2023;23.425
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2022;21.603
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2021;20.985
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2020;19.952
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2019;19.917
