zona,periodo,valor,url
Málaga,2014 2T,1286.0191246942718,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2014 3T,1262.163794816563,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2014 4T,1265.8172768899378,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2015 1T,1252.4663661339628,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2015 2T,1270.5074964002988,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2015 3T,1298.738897840179,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2015 4T,1316.123959453704,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2016 1T,1340.7119916722222,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2016 2T,1336.1563950033333,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2016 3T,1312.0520770019998,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2016 4T,1347.0605148357995,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2017 1T,1379.5721759501905,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2017 2T,1370.987305570114,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2017 3T,1416.5923833420684,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2017 4T,1426.3864456496856,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2018 1T,1435.9404673898114,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2018 2T,1498.9154804338868,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2018 3T,1523.9402882603322,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
Málaga,2018 4T,1573.3884587500934,https://www.tinsa.es/precio-vivienda/andalucia/malaga/malaga/
