zona,periodo,valor,url
Marbella,2014 1T,1810.1138684174675,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2014 2T,1772.181148154688,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2014 3T,1747.2138822005934,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2014 4T,1766.4079528226837,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2015 1T,1718.748468806535,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2015 2T,1724.0025504967446,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2015 3T,1732.6112419550316,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2015 4T,1756.0572711164482,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2016 1T,1739.5461664239042,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2016 2T,1747.0891981092936,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2016 3T,1742.4825203857868,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2016 4T,1786.1663639242872,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2017 1T,1840.6512627234924,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2017 2T,1842.6118710071607,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2017 3T,1851.9788552277917,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2017 4T,1904.2912873993928,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2018 1T,1917.7649334884168,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2018 2T,1931.5766348465463,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2018 3T,1979.570715270063,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2018 4T,1974.7902327078027,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2019 1T,2034.9871587727357,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2019 2T,2088.8453242899054,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2019 3T,2146.870597608043,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2019 4T,2131.399237581987,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2020 1T,2148.633157994924,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2020 2T,2128.192878164941,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2020 3T,2114.4781627204675,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2020 4T,2091.46466183554,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2021 1T,2100.4621457686403,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2021 2T,2106.5078776854543,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2021 3T,2095.77077242202,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2021 4T,2111.680827981476,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2022 1T,2184.442438385835,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2022 2T,2241.897144295428,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2022 3T,2307.523965207555,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2022 4T,2343.950655430684,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2023 1T,2344.665327154275,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2023 2T,2403.390731112845,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2023 3T,2485.469701870968,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2023 4T,2571.1490925324915,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2024 1T,2606.487160207161,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2024 2T,2695.0329492334104,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2024 3T,2755.0602532529347,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2024 4T,2925.563915943326,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2025 1T,3020.6923771742045,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2025 2T,3122.4334101304694,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2025 3T,3228.279911542764,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2025 4T,3377.1201630861037,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2026 1T,3640.759560818177,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Marbella,2026 2T,3694.277624180296,https://www.tinsa.es/precio-vivienda/andalucia/malaga/marbella/
Vélez Malaga,2001 1T,713.6291212408325,https://www.tinsa.es/precio-vivienda/andalucia/malaga/velez-malaga/
Vélez Malaga,2001 2T,757.7588424022321,https://www.tinsa.es/precio-vivienda/andalucia/malaga/velez-malaga/
